server,pool
36,56
36,127
36,186
36,189
37,41
37,44
37,51
37,54
37,57
37,162
37,181
37,188
38,41
38,47
38,50
38,52
38,58
38,131
38,149
38,161
39,41
39,46
39,48
39,55
39,59
39,120
39,122
39,171
40,42
40,46
40,50
40,54
40,56
40,143
40,152
40,180
41,42
41,47
41,48
41,53
41,57
41,136
41,173
41,190
42,42
42,44
42,49
42,55
42,58
42,130
42,132
42,182
43,42
43,45
43,51
43,52
43,59
43,137
43,150
43,166
44,43
44,47
44,51
44,55
44,56
44,134
44,164
44,175
45,43
45,46
45,49
45,52
45,57
45,158
45,176
45,179
46,43
46,45
46,48
46,54
46,58
46,147
46,160
46,165
47,43
47,44
47,50
47,53
47,59
47,157
47,172
47,177
48,60
48,64
48,68
48,72
48,76
48,149
48,154
48,164
49,60
49,65
49,70
49,75
49,77
49,129
49,130
49,179
50,60
50,66
50,71
50,73
50,78
50,120
50,126
50,160
51,60
51,67
51,69
51,74
51,79
51,131
51,139
51,184
52,61
52,65
52,69
52,73
52,76
52,150
52,168
52,172
53,61
53,64
53,71
53,74
53,77
53,124
53,163
53,189
54,61
54,67
54,70
54,72
54,78
54,127
54,176
54,186
55,61
55,66
55,68
55,75
55,79
55,145
55,153
55,174
56,62
56,66
56,70
56,74
56,76
56,133
56,180
56,188
57,62
57,67
57,68
57,73
57,77
57,138
57,141
57,161
58,62
58,64
58,69
58,75
58,78
58,144
58,148
58,175
59,62
59,65
59,71
59,72
59,79
59,134
59,146
59,171
60,63
60,67
60,71
60,75
60,76
60,165
60,178
60,191
61,63
61,66
61,69
61,72
61,77
61,157
61,183
61,187
62,63
62,65
62,68
62,74
62,78
62,123
62,142
62,169
63,63
63,64
63,70
63,73
63,79
63,135
63,156
63,159
64,80
64,84
64,88
64,92
64,96
64,129
64,138
64,190
65,80
65,85
65,90
65,95
65,97
65,144
65,151
65,160
66,80
66,86
66,91
66,93
66,98
66,147
66,166
66,173
67,80
67,87
67,89
67,94
67,99
67,130
67,149
67,171
68,81
68,85
68,89
68,93
68,96
68,125
68,170
68,185
69,81
69,84
69,91
69,94
69,97
69,181
69,186
69,188
70,81
70,87
70,90
70,92
70,98
70,123
70,126
70,141
71,81
71,86
71,88
71,95
71,99
71,153
71,177
71,191
72,82
72,86
72,90
72,94
72,96
72,128
72,140
72,162
73,82
73,87
73,88
73,93
73,97
73,121
73,136
73,158
74,82
74,84
74,89
74,95
74,98
74,148
74,159
74,175
75,82
75,85
75,91
75,92
75,99
75,134
75,163
75,168
76,83
76,87
76,91
76,95
76,96
76,155
76,179
76,190
77,83
77,86
77,89
77,92
77,97
77,132
77,156
77,174
78,83
78,85
78,88
78,94
78,98
78,143
78,145
78,164
79,83
79,84
79,90
79,93
79,99
79,133
79,178
79,183
80,100
80,104
80,108
80,112
80,116
80,131
80,164
80,189
81,100
81,105
81,110
81,115
81,117
81,147
81,154
81,167
82,100
82,106
82,111
82,113
82,118
82,149
82,161
82,177
83,100
83,107
83,109
83,114
83,119
83,162
83,174
83,187
84,101
84,105
84,109
84,113
84,116
84,128
84,155
84,173
85,101
85,104
85,111
85,114
85,117
85,122
85,132
85,140
86,101
86,107
86,110
86,112
86,118
86,133
86,172
86,178
87,101
87,106
87,108
87,115
87,119
87,139
87,152
87,182
88,102
88,106
88,110
88,114
88,116
88,143
88,157
88,190
89,102
89,107
89,108
89,113
89,117
89,127
89,129
89,191
90,102
90,104
90,109
90,115
90,118
90,125
90,146
90,185
91,102
91,105
91,111
91,112
91,119
91,144
91,163
91,191
92,103
92,107
92,111
92,115
92,116
92,137
92,169
92,179
93,103
93,106
93,109
93,112
93,117
93,148
93,158
93,176
94,103
94,105
94,108
94,114
94,118
94,124
94,170
94,184
95,103
95,104
95,110
95,113
95,119
95,134
95,142
95,159
